info	time	type	plate	ABL1	ADAM9	ALCAM	APP	AURKA	AURKB	AXIN1	AXL	BLMH	CASP3	CAV1	CCNA2	CCNE1	CDH1	CSTB	CTSD	EDIL3	EIF4B	EPCAM	EPHA2	ERBB2	EZR	FABP5	FAS	FGF19	FGF2	GLI3	GLO1	GRN	HMOX1	HSPB1	IGFBP2	IKBKG	ITGB5	LGALS3	LIN28A	LRPAP1	LRRC16A	MESDC2	MET	METAP1D	MIF	MKI67	NOTCH1	NPM1	NQO1	NTHL1	PARK7	PARP1	PLAU	PLAUR	POU5F1	SCAMP3	SMAD4	SOD1	SOD2	SOX2	THY1	TNC	TNFRSF10B	TP53	ZNF24
Comb_0h_sc_A12	Comb	0h	sc	A12	0.596977939	0	0.15134106	0.854052053	0.238063561	0	0.133019474	0.768143955	0.159200607	7.473651386	0.318196756	0.081993747	0.912812951	1.640001143	0.234521785	0	0	0	5.175602838	0	1.704068984	0.921406148	0	1.908274245	0.035922374	0	0	2.966928894	0.261166847	1.761946372	0.093383635	1.655351098	0.81128318	2.168529192	0.62355599	0.875389465	0.943533469	0.949153023	0.66060401	0	0.350891495	4.931340135	0.124296267	1.869438938	0.353086058	0.379887577	0.615077791	1.341543094	2.720156174	3.736616586	2.712561681	2.009717248	0.337203362	0.211088285	1.790790668	0.374246282	0.77199828	2.297484067	0.480402282	3.416600922	5.060727587	2.518806971
Comb_0h_sc_B2	Comb	0h	sc	B2	0.0070258	0	0	0.759653253	0.09145036	0	0	0.079380277	0	6.764530276	0.189320594	0	0	0.749062661	0	0	0	0	6.355523705	0	1.071252223	0.543820096	0	0.544933057	0.141504162	0	0	2.266491224	0	1.028026716	0	1.372819954	0.755441335	2.496472487	0	0.42482052	0.45881378	0	0.346508437	0	0	4.06713535	0	1.536452364	0.251710716	0	0.495878731	1.01080164	1.067822575	1.582752159	0	2.15824596	0.412417769	0	1.437488573	0	0.043790924	1.994811309	0	3.634079609	3.379069574	2.451930445
Comb_0h_sc_B3	Comb	0h	sc	B3	0.311301528	0	0	0.378483813	0.134788321	0	0.107719019	0.211468405	0	6.008082411	0	0	0.525529787	0.883648361	0	0	0	0.018636942	5.074918106	0.035172503	0.859548021	0.623801209	0	0.334970841	0	0	0.058424214	2.006978007	0	0.108253781	0	0.559279912	0.923858086	1.486747725	0	0.513121244	0.373646768	0.362667208	0.370991672	0	0	3.812332848	0.070974129	1.004023481	0.16510293	0	0	0.816562532	0.100068755	0.64017217	0	1.770075318	0.023216465	0.057611659	1.41015908	0.064545362	0.476968586	0.888689568	0	2.260251927	0.785127119	2.227883097
Comb_0h_sc_B4	Comb	0h	sc	B4	0.036800879	0	0	0.684268639	0	0	0	0.326201192	1.387496665	6.728793088	0	0	0.769298157	2.89521817	0	1.009426268	0	0	5.651860109	0	1.031559546	0.655874746	0	1.244721281	0	0	0	2.206035466	0.021618135	1.843033266	0.252327781	0.883231116	0.408102689	1.947273339	0.948174548	0.608887127	0.499448817	0.178674831	0.373510966	0	0.126256585	4.157311494	0	1.360102128	0.044850994	0	0.447305987	1.123872925	0	1.90481814	1.171525174	1.967853884	0.038053999	0.078739591	1.871171644	0	0.28446846	1.556882999	0	2.87792862	3.878324368	2.569616609
Comb_0h_sc_B5	Comb	0h	sc	B5	0.304409372	0	0	0	0	0	0	0.619131566	0	6.403149244	0	0	1.123986374	0.699138969	0	0	0	0	3.433811739	0	0.536219653	0.848407531	0	1.153145882	0	0	0	2.380655936	0	0	0	0.398283005	0.912656045	0.624216587	0	0.627117177	0.317418369	0.227660351	0.452370882	0	0.444689899	3.733363383	0	0.778070882	0.173647982	0	0.65709517	0.739684511	0.158373828	1.138348334	0	0.435499351	0.471822906	0.075089466	1.108604532	0	0.59137113	0.00418329	0	2.478878056	0.8654448	2.031184471
Comb_0h_sc_B6	Comb	0h	sc	B6	0.411058029	0	0	0.247076472	0	0	0	0.577352349	0	6.693435044	0	0	0.532211727	0.609679089	0	0	0	0	5.291904251	0	1.098087388	0.88437192	0	1.022703158	0	0	0	2.446225666	0	0.382146327	0	0.756743734	1.20144655	2.063095124	0	0.373891612	0.421572592	0.406681897	0.271610379	0	0.665338861	4.293642549	0	1.382274719	0.130580711	0	0.408951164	1.129686855	0	1.930755097	0.614543756	1.945263337	0.244540758	0.165105616	1.360093736	0	0.331623123	1.636973839	0	3.216018146	3.655582455	2.744113352
Comb_0h_sc_B7	Comb	0h	sc	B7	0.411826404	0	0	0.117769185	0	0	0	0.772484824	0	7.464204082	0	0	0.675787783	0.651486525	0	0	0	0	5.679454667	0	1.569234881	0.815078672	0	1.436794229	0.1185939	0	0	2.570197667	0	0.844204425	0	0.895007374	0.70196681	2.523573914	0	0.814248853	0.528840847	0.565903792	0.200791964	0	0.794365016	4.287499345	0	1.637997273	0.049811762	0	0.213178611	1.274737185	0	2.058199464	0.753661352	2.045478028	0.277842954	0	1.336905384	0.005522592	0.229606907	1.96747215	0	3.335895844	0.483153015	2.759933079
Comb_0h_sc_B8	Comb	0h	sc	B8	0.349080424	0	0	0.632102527	0.068035365	0	0	0.686182116	0	7.97726643	0.801189274	0	0.560655276	0.813825045	0	0	0	0	4.624338151	0	1.675879612	0.843252293	0	1.015659858	0	0	0	2.826540236	0	1.661158452	0	0.780200644	0.825100383	2.804057706	0	0.547638023	0.667941335	0.40564262	0.27030805	0	0.49242584	4.298792377	0.200233973	1.04320551	0	0.173608796	0.416573307	1.247521397	0	3.493108463	2.518811992	2.099046008	0.316302858	0.310514177	1.589879196	0.021868739	0.19637226	1.630874087	0	3.338208593	0.751794865	2.759341339
Comb_0h_sc_B9	Comb	0h	sc	B9	0	0	0	0.079544988	0	0	0	0	0	5.730654373	0	0	0	0.283006027	0	0	0	0	4.989873783	0	0.718838586	0.448775861	0	0	0	0	0	1.444209325	0	0.209723862	0	0.612050807	0.267336722	1.684812563	0	0.413553742	0.216200571	0.245597061	0.039952178	0	0	3.50842069	0	0.360041409	0	0	0.260755317	0.601004257	0	1.514044908	0.829115076	1.483317805	0.173332147	0	0.845607921	0	0.103498406	1.265343001	0	2.352928657	0.367838593	2.320829199
Comb_0h_sc_B10	Comb	0h	sc	B10	0.304284577	0	0	0.573772161	0.094746106	0.211610046	0.065769043	1.137091959	0.007582671	7.50979024	0	0	0.527709647	0.642911964	0	0	0	0	4.903370619	0	1.389230587	0.512423034	0	1.384851331	0.159260546	0	0	2.598264297	0	1.203005827	0	0.955482455	1.026641288	1.85197637	0	0.572583918	0.670264174	0.672443142	0.448918764	0.147130904	0.27351424	3.725597284	0.393849686	1.433331885	0.231410445	0.065754041	0.755575845	1.023382175	0.394257617	3.441095594	2.3565833	2.004284678	0.347657938	0.062368892	1.346135017	0.141245329	0.020135903	1.750513292	0	3.595142153	0.020221093	2.90932765
Comb_0h_sc_B11	Comb	0h	sc	B11	0.116513455	0	0	0.209190397	0	0	0	0.453586042	0	6.866675846	0.021153537	0	0.411266177	0.881499857	0	0	0	0	4.868271362	0	1.044573996	0.147405556	0	0.853935261	0.002640455	0	0	2.175194921	0	0	0	0.49087865	1.217582404	0.533865539	0	0.627781014	0.316500811	0.403184599	0.247935414	0	0.134102825	3.479020587	0.204267177	0.918888631	0	0.111027342	0.560956576	0.475733368	2.42977347	0.485135794	0.209597846	0.816444085	0.477617577	0.051178048	0.912414509	0.105699992	0.533975856	0.443326365	0	2.103549322	0.897012148	2.357771272
Comb_0h_sc_B12	Comb	0h	sc	B12	0.244652104	0	0	0.229630683	0.19487442	0	0	0.545896319	0	5.586344029	0	0.014585378	0.584526979	0.848991021	0	0	0	0	6.449136097	0	0.707156295	0.546246396	0	0	0	0	0	2.234799748	0	1.017154704	0	0.733151793	0.515846743	1.466685039	0	0.122367323	0.412490439	0.508994355	0.330653195	0	0	3.380550986	0	0.774347965	0.191241546	0	0.094018118	0.341661749	0.392017886	0.5617178	0.120112005	1.737272091	0	0.058416063	0.953858952	0	0.634641912	1.029465058	0	0.800701787	0.65652139	2.643966931
Comb_0h_sc_C2	Comb	0h	sc	C2	0.135572361	0.03678791	0	0.690902917	0.559886404	0	0.567945137	1.082829616	0	6.02111694	0.133451159	0	1.208284708	0.867066403	0	0	0	0	4.783811142	0	1.414104608	0.697116296	0	1.941285057	0	0	0.085589523	1.712643338	0	1.180984359	0	0.919086445	0.664033965	1.566752251	0	0.625146622	0.467352405	0.374875239	0.610991152	0.575074017	0.185250947	4.105602655	0	1.273066935	0.146131009	0.051201317	0.463868978	1.05638489	0	2.40103562	1.316611122	2.484734806	1.046455871	0.367039498	1.161061304	0	0.319758305	1.717825761	0.173948992	3.072666255	3.057544236	2.74860334
Comb_0h_sc_C3	Comb	0h	sc	C3	0.082925866	0	0	0.606669513	0	0	0	0.631160178	0.034940139	6.686895435	0	0	1.117533636	1.117409797	0	0	0	0.039509721	5.590044341	0	1.310798568	0.810143612	0	1.51641179	0	0	0	2.651518618	0.064931313	0.670906698	0	0.384228736	0.924707431	1.247034403	0	0.7810481	0.380968656	0.558491423	0.44779437	0.112470579	0.816901759	4.287828989	0	0.958228964	0.093520409	0	0.633615834	1.090418246	0.071812914	0.954532148	0	1.750251411	0.509230997	0.010373332	1.401665279	0.122879303	0.318601434	1.276630492	0	2.664322404	1.124966565	2.415886419
Comb_0h_sc_C4	Comb	0h	sc	C4	0.014791956	0	0	0.409198902	0	0	0	0.578666882	0	6.365584101	0	0	0.741664732	0.737824775	0	0	0	0	5.12880626	0	0.93498152	0.62124651	0	1.086718409	0	0	0	2.028908456	0	0.606752608	0	0.517213333	0.661345978	2.078689008	0	0.439945454	0.357995305	0.374934912	0.260603783	0	0	3.840211396	0	0.899139977	0	0	0.343382	0.920598723	0.097681921	1.436837415	0.559158118	1.626057924	0	0.142991926	1.304504789	0	0.076003026	1.566043456	0	2.497385636	1.375163819	1.851301097
Comb_0h_sc_C5	Comb	0h	sc	C5	0.239866396	0	0.060412486	0.216110448	0.078948649	0.050402569	0	0.494480527	0	6.574712771	0	0.049734007	0.536821896	0.893815992	0	0	0	0.076616663	4.504912172	0	0.787135744	0.439597572	0	0.778397191	0.060638626	0	0	2.585340361	0.04087081	0.040159943	0	0.46188866	0.381850552	0.650962024	0	0.879311431	0.303523476	0.839814146	0.265771487	0	0.663188435	3.849481704	0.313169791	0.724103694	0.183296438	0	0.42321176	0.779223717	0.15026653	1.404417784	0	1.466543453	0.647488747	0.371002539	1.240824012	0.049674593	0.213153745	1.312784072	0	2.282506308	1.929617542	2.475735181
Comb_0h_sc_C6	Comb	0h	sc	C6	0.267096462	0	0	0.287361172	0	0	0	0.605561831	0	7.114573216	0.233755607	0	0.449765157	0.649773442	0	0	0	0.07015161	4.872435716	0	0.724063164	0.602763115	0	1.353189439	0	0	0	2.363298609	0	0.61475936	0	0.605618139	0.680725456	1.023942319	0	0.620345217	0.416936007	0.223578939	0.239105375	0	0.334043739	3.899935482	0	1.12618383	0	0	0.344033487	1.006812731	0	2.854688281	1.155928326	1.959305946	0.047194554	0	1.298504467	0	0.477033029	1.521606329	0	2.600270211	0.983070511	2.339675667
Comb_0h_sc_C7	Comb	0h	sc	C7	0.154869615	0	0	0.412396282	0	0	0	0.794873131	0	7.177875221	0.237777387	0	0.81646606	0.623890924	0	0	0	0	4.412173142	0	1.005532532	0.463936186	0	1.779058739	0	0	0	2.387341537	0	0.303136044	0	0.787636034	0.912167752	1.619490727	0	0.760951587	0.233847345	0.556124054	0	0.434846292	0.245474761	3.695788396	0	0.903034451	0	0	0.141542554	0.91242756	0	1.663855899	0.223032574	1.749670754	0	0.153331295	1.343759342	0	0.290117171	0.714900389	0	2.974414658	1.169721454	2.249281752
Comb_0h_sc_C9	Comb	0h	sc	C9	0.527129979	0	0	0.570408592	0	0	0.094408517	1.00584921	0.021550578	7.22555581	0	0.184533927	0.924938789	1.306747155	0	0	0	0	4.366581888	0	1.374006216	0.795266412	0	0.902588495	0	0	0	2.996615992	0	0	0	0.854672675	0.895547285	1.118173103	0	0.859752751	0.488949194	0.818719925	0.269509238	0	0.538744	4.327560065	0.017042229	2.139520832	0	0	0.258696862	1.138628517	0.44290921	2.429223414	0.283593939	1.552445796	0.000657144	0.219023593	1.607676782	0.066008239	0.17469779	0.307470563	0	3.577043085	1.713858937	2.34341832
Comb_0h_sc_C10	Comb	0h	sc	C10	0.367432087	0	0	0.688123091	0	0.008045475	0	0.782087752	0.101625109	7.923108692	0.172953408	0	0.821889092	1.045293175	0	0	0	0	5.013165858	0	1.828963746	0.98613898	0	1.668944116	0.104360407	0	0	3.318533457	0	1.316262287	0	1.28423373	1.24651001	1.761944567	0	1.299356885	0.62977392	0.765191102	0.312700097	0.45845112	1.110450833	4.634980943	0.069208474	1.239945837	0	0.046932958	0.462131409	1.409828446	0.404134703	3.228028292	1.805791391	2.070615714	0	0	1.702001783	0.169360688	0.349693527	1.749341649	0	3.779613115	3.034419798	2.862514549
Comb_0h_sc_C11	Comb	0h	sc	C11	0.239483101	0	0	0.520407686	0.041457505	0.143508227	0	0.282095942	0	7.410809862	0.226502976	0.515695751	0.166649366	0.691202186	0.093443296	0	0	0	5.755743272	0	1.829216428	0.960746606	0.906883673	0.803974913	0	0	0.154843121	2.775345884	0.251702176	1.653895141	2.142220554	0.862249708	1.443676297	2.185099768	0	1.051343602	0.597808174	0.718978461	0.160962477	0.332919308	0.248508477	4.391382299	0	1.776467679	0.200618396	0	0.441504046	1.447877648	0.520128461	2.221679016	1.380891202	2.066690418	0.295141543	0.243623208	1.419151562	0.847774768	0.415492731	1.882874669	0	3.518231532	2.824811419	2.920379229
Comb_0h_sc_C12	Comb	0h	sc	C12	0.558554233	0	0	0.688353067	0.86206891	0	0	1.007798532	0	7.458972515	0	0.938632782	0	1.012865411	0	0	0	0	6.111596943	0	2.007367326	0.916406916	0	1.051852218	0.469180205	0	0	2.964152868	0	0.970776287	0	0.855493494	1.064986403	2.788285041	0	0.917567712	0.773679616	0.67247826	0.305503249	0.178496311	0.321219841	5.069462544	0.109462058	1.426813952	0.003380704	0	0.475734339	1.595801607	0	3.793021686	2.07473713	2.368352277	0.243246869	0.312786712	1.677102976	0.027173243	0.471286676	2.201718053	0	3.789955498	0.702761327	3.163808127
Comb_0h_sc_D2	Comb	0h	sc	D2	0.164029508	0	0	0.38609406	0	0	0	0.647385213	0	7.055446559	0.020118368	0	0.794662216	0.9427468	0	0	0	0	6.14392395	0	1.097562073	0.850000764	0	0.914346558	0	0	0	2.450328623	0	0.637477204	0	0.692295582	1.017574275	1.516806733	0	0.532996846	0.410809547	0.202012328	0.439943916	0.512481668	0.034696126	4.440712566	0	0.870290085	0.363735038	0	0.458894147	1.170566255	0.282824957	1.630187266	0.215301464	2.090114058	0.506500121	0.235193374	1.480092888	0	0.410064289	1.025032253	0	2.768441212	2.477054913	2.594598899
Comb_0h_sc_D3	Comb	0h	sc	D3	0	0	0	0.307379331	0.49924759	0	0	0.718514142	0.036398217	7.116391892	0.198437693	0.774366745	0.343210129	0.8641543	0	0	0	0	5.711452242	0	1.256378749	0.767293978	0	1.583800466	0.095723134	0	0	2.997880714	0	1.724309312	0	0.983143989	1.150711814	1.910337133	0	1.013920883	0.461920365	0.515476126	0.289099307	0.478660827	0.044335591	4.631846486	0.241376649	1.159277922	0.083047581	0	0.087874973	1.376694874	0	2.210210632	0.541693343	2.208837778	0	0.163626991	1.480124747	0	0.228379272	1.731225514	0	3.835263911	0.78863459	2.770967002
Comb_0h_sc_D4	Comb	0h	sc	D4	0.222694404	0	0	0.319905606	0	0	0	0.538728161	0	7.22717775	0.31695097	0	0.913918053	0.871095352	0	0	0	0	5.921298053	0	1.64344042	0.636682657	0	1.516115113	0.016210476	0	0	2.682748107	0	1.188222819	0	0.564785914	0.938673088	1.861301282	0	1.016105834	0.545967247	0.393299974	0.359354438	0.022035695	0.283623351	4.567294739	0.266152654	1.131818668	0.115681745	0	0.566596662	1.289247307	0.261810557	2.314526191	0.856599518	2.130132629	0	0	1.512180678	0	0	1.444841953	0	3.209079998	3.28716779	2.59032902
Comb_0h_sc_D5	Comb	0h	sc	D5	0.18806098	0	0	0.719607655	0	0	0	0.299998219	0	7.093311249	0	0	0.723308164	0.658417103	0	0	0	0	5.034886359	0	1.565876946	0.645643005	0	0.962596251	0	0	0.282853639	2.364855128	0	0.390334191	0	0.959344973	0.871326679	2.148326961	0	0.614421891	0.401754847	0.18021117	0.226930218	0	0.603804895	4.187560437	0.282210705	2.072105955	0	0	0.32004718	0.995173882	0	2.77857931	1.392758642	2.215183246	0	0.314310423	1.52576804	0	0.278851663	2.013850419	0	3.853220776	4.061467734	2.519684771
Comb_0h_sc_D6	Comb	0h	sc	D6	0.623253168	0	0.020253756	0.677341075	0.82645155	0.414752021	0.006097947	1.068441366	0.7862974	7.972069574	0	1.100877637	0.610030044	0.96606578	0.100559369	0	0	0.250032985	5.64551516	0	1.664825451	1.099948823	0.17928868	2.032905566	0.03202061	0	0.237800884	3.156851461	0.004738922	1.798027071	0	1.267818647	1.276963379	2.263719002	0	1.35037776	0.89978737	1.044778873	0.455194439	0	0.830454667	4.822928674	0.775377759	1.689572321	0	0	0.320883197	1.518649254	0.152904439	2.488742207	0.836229321	2.701134894	0.33934081	0.611593318	1.814640034	0.195435323	0.654034328	2.041570948	0	4.132993022	1.019639493	3.333256892
Comb_0h_sc_D7	Comb	0h	sc	D7	0.784849913	0	0.030119249	0.475162715	0.020649936	0	0.006893558	0.596478365	0.290714682	7.251331042	0	0.122564311	0.94324912	0.737301045	0	0	0	0	5.301571625	0	1.517685373	0.382042248	0	0.891650219	0.402848586	0	0	2.685619689	0	1.191332104	0	0.647050236	1.084064315	2.579842758	0	1.045942965	0.646043555	0.862745491	0.168090982	0.607061193	0.130352988	4.10731613	0	1.02226739	0	0	0.423937276	0.93595039	0	2.225326402	1.201658035	2.106693002	0	0.21353732	1.390726914	0.135487277	0.796813318	1.624198324	0	2.830603338	2.230552149	2.464356092
Comb_0h_sc_D8	Comb	0h	sc	D8	1.587347071	0	0.092508638	0.55062097	0	0	0	0.7339525	0.562566909	7.646020583	0.260461966	0	0.927040533	1.031428274	0.092318218	0	0	0.017990504	5.457747294	0.194186321	1.908178526	1.010868123	0.201233235	1.316997458	0.19501592	0	0	2.732434217	0	0.562875919	0	0.653416687	1.397061933	2.277848186	0	1.110793909	0.696609416	0.800441919	0.077396451	0.217207778	1.167935124	3.82657354	0.45208931	1.510161437	0	0	0.621912988	0.969337122	0.434492292	2.743208277	1.593407367	2.115296625	0.410231713	0.519130409	1.39233271	0.195977241	0.752369118	1.414808157	0	2.884321068	0.932399891	2.764238486
Comb_0h_sc_D9	Comb	0h	sc	D9	0.537262732	0	0	0.431087692	0	0.110676468	0	0.486959098	0.132193662	7.603258271	0.385639964	0.120824534	0.569502215	0.657029136	0	0	0	0	5.488217073	0.526878964	1.51431736	0.491432021	0.078788926	0.572828235	0.33092977	0	0	2.283919967	0	0.949379268	0	0.202456753	1.019798523	2.200337863	0	0.741295707	0.323361483	0.426298274	0	0	0.341412661	3.485022785	0	1.417140207	0	0	0.344211616	0.80673168	0.239737882	2.81990075	1.418381792	1.918178701	0.435192297	0	1.063302251	0	0.540173669	1.624246373	0	2.618454881	1.49098284	2.577797148
Comb_0h_sc_D10	Comb	0h	sc	D10	0	0	0	0.148950366	0	0	0	0.187306824	0.49430495	6.385092926	0	0.511972944	0	0.50461755	0	0	0	0	4.912324567	0	0.789760486	0.334265901	0	1.38741894	0	0	0	2.123045042	0	0.207762777	0	0.145527935	0.412954615	2.376127288	0	0.369867802	0.22041786	0	0	0	0.630850047	3.577657969	0	0.567173425	0	0	0	0.442457963	0.038931797	1.399998603	0	1.649256427	0.067620994	0	1.143349971	0	0.083393995	0.812906879	0	2.62646235	0.544875003	2.414001944
Comb_0h_sc_D11	Comb	0h	sc	D11	1.234643325	0	0.082564207	0.812492522	0.640531933	0.463180661	0	0.891089598	0.414711312	8.465776082	0.538848068	0.869896414	0.154773556	0.815076833	0.342956508	0	0	0	5.422451514	0.089023216	1.535541928	0.922530728	0.311107936	1.888672235	0.320759212	0	0	3.328230624	0	1.524570858	0	1.218824698	1.355912217	1.90312409	0	1.178967411	0.76481816	0.862865088	0.289005981	0.096735706	0.932906141	4.670979776	0.489678982	1.982344435	0.012674277	0.304946524	0.925973253	1.542260402	0.339324252	3.324304169	1.633290803	2.515825986	0.348033111	0	1.970186711	0.410810091	0.866142086	2.609451243	0	3.896457857	1.054536521	3.316787778
